/opt/conda/envs/mirdnn/lib/python3.9/site-packages/torch/nn/modules/conv.py:309: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv1d(input, weight, bias, self.stride,
/opt/mirdnn/mirdnn_src/src/RAdam/radam/radam.py:58: UserWarning: This overload of addcmul_ is deprecated:
	addcmul_(Number value, Tensor tensor1, Tensor tensor2)
Consider using one of the following signatures instead:
	addcmul_(Tensor tensor1, Tensor tensor2, *, Number value) (Triggered internally at ../torch/csrc/utils/python_arg_parser.cpp:1485.)
  exp_avg_sq.mul_(beta2).addcmul_(1 - beta2, grad, grad)
epoch 0: train_loss=24.5026 valid_auprc=0.939429 last_imp=0
epoch 1: train_loss=12.2358 valid_auprc=0.956550 last_imp=0
epoch 2: train_loss=5.0654 valid_auprc=0.946641 last_imp=1
epoch 3: train_loss=2.6877 valid_auprc=0.957911 last_imp=0
epoch 4: train_loss=1.8167 valid_auprc=0.943634 last_imp=1
epoch 5: train_loss=1.2086 valid_auprc=0.952905 last_imp=2
epoch 6: train_loss=0.7815 valid_auprc=0.953789 last_imp=3
epoch 7: train_loss=0.7822 valid_auprc=0.951411 last_imp=4
epoch 8: train_loss=0.5974 valid_auprc=0.954502 last_imp=5
epoch 9: train_loss=0.6254 valid_auprc=0.940868 last_imp=6
epoch 10: train_loss=0.7241 valid_auprc=0.947651 last_imp=7
epoch 11: train_loss=0.5950 valid_auprc=0.962551 last_imp=0
epoch 12: train_loss=0.6313 valid_auprc=0.960505 last_imp=1
epoch 13: train_loss=0.5144 valid_auprc=0.955176 last_imp=2
epoch 14: train_loss=0.3543 valid_auprc=0.957586 last_imp=3
epoch 15: train_loss=0.3911 valid_auprc=0.957128 last_imp=4
epoch 16: train_loss=0.2237 valid_auprc=0.951542 last_imp=5
epoch 17: train_loss=0.1227 valid_auprc=0.962326 last_imp=6
epoch 18: train_loss=0.0698 valid_auprc=0.961202 last_imp=7
epoch 19: train_loss=0.1214 valid_auprc=0.971859 last_imp=0
epoch 20: train_loss=0.4241 valid_auprc=0.967657 last_imp=1
epoch 21: train_loss=0.2552 valid_auprc=0.952936 last_imp=2
epoch 22: train_loss=0.4995 valid_auprc=0.961480 last_imp=3
epoch 23: train_loss=0.5272 valid_auprc=0.953678 last_imp=4
epoch 24: train_loss=0.1949 valid_auprc=0.966033 last_imp=5
epoch 25: train_loss=0.0672 valid_auprc=0.972757 last_imp=0
epoch 26: train_loss=0.0130 valid_auprc=0.973837 last_imp=0
epoch 27: train_loss=0.0055 valid_auprc=0.966403 last_imp=1
epoch 28: train_loss=0.0033 valid_auprc=0.966595 last_imp=2
epoch 29: train_loss=0.0027 valid_auprc=0.966559 last_imp=3
epoch 30: train_loss=0.0022 valid_auprc=0.966517 last_imp=4
epoch 31: train_loss=0.0019 valid_auprc=0.966263 last_imp=5
epoch 32: train_loss=0.0018 valid_auprc=0.966255 last_imp=6
epoch 33: train_loss=0.0016 valid_auprc=0.966590 last_imp=7
epoch 34: train_loss=0.0014 valid_auprc=0.966655 last_imp=8
epoch 35: train_loss=0.0013 valid_auprc=0.966553 last_imp=9
epoch 36: train_loss=0.0011 valid_auprc=0.966649 last_imp=10
epoch 37: train_loss=0.0011 valid_auprc=0.966532 last_imp=11
epoch 38: train_loss=0.0009 valid_auprc=0.966889 last_imp=12
epoch 39: train_loss=0.0008 valid_auprc=0.966760 last_imp=13
epoch 40: train_loss=0.0008 valid_auprc=0.966594 last_imp=14
epoch 41: train_loss=0.0007 valid_auprc=0.966437 last_imp=15
epoch 42: train_loss=0.0007 valid_auprc=0.966861 last_imp=16
epoch 43: train_loss=0.0006 valid_auprc=0.966760 last_imp=17
epoch 44: train_loss=0.0006 valid_auprc=0.966723 last_imp=18
epoch 45: train_loss=0.0005 valid_auprc=0.966617 last_imp=19
epoch 46: train_loss=0.0005 valid_auprc=0.966576 last_imp=20
Saved mirDNN model to /SCRATCH/dtzim01/pre-miRBench/results/training/mirdnn/mirgenedb71_1to10/model.pmt
Wrote generated inference config: /SCRATCH/dtzim01/pre-miRBench/results/training/mirdnn/mirgenedb71_1to10/inference_config.yaml
