tool,split,group,records,scored_records,missing_predictions,positives,negatives,auprc,auroc,accuracy,precision,recall,specificity,f1,mcc,best_f1,best_threshold,tp,tn,fp,fn
mirdnn,test_known_species_known_family,,7777,7777,0,707,7070,0.9844732371413921,0.9943598966888,0.9916420213449917,0.9665697674418605,0.9405940594059405,0.9967468175388967,0.953405017921147,0.948921448892817,0.9560201874549387,0.5939489603042603,665,7047,23,42
mirdnn,test_known_species_heldout_family,,7447,7447,0,677,6770,0.956104258086064,0.9840479219076254,0.9838861286424063,0.966499162479062,0.8522895125553914,0.9970457902511078,0.9058084772370487,0.8991567178812371,0.9230769230769231,0.19525402784347534,577,6750,20,100
mirdnn,test_heldout_species_known_family,,2277,2277,0,207,2070,0.9852563042495887,0.9971761301313916,0.9925340360122968,0.9656862745098039,0.9516908212560387,0.9966183574879227,0.9586374695863747,0.954565128191875,0.9633251833740831,0.5906770825386047,197,2063,7,10
mirdnn,test_heldout_species_heldout_family,,759,759,0,69,690,0.9112740601185629,0.969712245326612,0.9723320158102767,0.98,0.7101449275362319,0.9985507246376811,0.823529411764706,0.8212979510509959,0.8787878787878787,0.1523330956697464,49,689,1,20
deepmir,test_known_species_known_family,,7777,7777,0,707,7070,0.8648418610762576,0.9740767711848979,0.9643821525009644,0.8359375,0.7567185289957568,0.9851485148514851,0.7943578322197477,0.7760642131412795,0.804005722460658,0.42361352,535,6965,105,172
deepmir,test_known_species_heldout_family,,7447,7447,0,677,6770,0.8513224381333032,0.966491319554294,0.963609507184101,0.8704379562043796,0.7045790251107829,0.9895125553914328,0.7787755102040815,0.7642265004914837,0.786100386100386,0.38470164,477,6699,71,200
deepmir,test_heldout_species_known_family,,2277,2277,0,207,2070,0.8684738476475237,0.967574505822773,0.9639877031181379,0.8531073446327684,0.7294685990338164,0.9874396135265701,0.7864583333333334,0.7697285945239868,0.7926509186351706,0.53157645,151,2044,26,56
deepmir,test_heldout_species_heldout_family,,759,759,0,69,690,0.8019805793467275,0.96040747742071,0.9525691699604744,0.8367346938775511,0.5942028985507246,0.9884057971014493,0.6949152542372882,0.6815517522770416,0.7746478873239437,0.26106086,41,682,8,28
deepmirgene,test_known_species_known_family,,7777,7777,0,707,7070,0.9647744998795704,0.9840186736394391,0.989070335604989,0.9405099150141643,0.9391796322489392,0.994059405940594,0.9398443029016278,0.9338336988242574,0.9429386590584878,0.61386323,664,7028,42,43
deepmirgene,test_known_species_heldout_family,,7447,7447,0,677,6770,0.9702661886910603,0.9850150219602076,0.9891231368336243,0.9542682926829268,0.9246676514032496,0.9955686853766618,0.9392348087021756,0.9334031490373872,0.9437037037037036,0.23617308,626,6740,30,51
deepmirgene,test_heldout_species_known_family,,2277,2277,0,207,2070,0.9728644538107145,0.9914362062125137,0.9903381642512077,0.9512195121951219,0.9420289855072463,0.9951690821256038,0.9466019417475727,0.9413040426384277,0.9521531100478469,0.23157465,195,2060,10,12
deepmirgene,test_heldout_species_heldout_family,,759,759,0,69,690,0.9421785336628935,0.9710144927536232,0.9841897233201581,0.9523809523809523,0.8695652173913043,0.9956521739130435,0.909090909090909,0.9015699680141076,0.9142857142857144,0.03212832,60,687,3,9
dnnpremir,test_known_species_known_family,,7777,7777,0,707,7070,0.9782464938772859,0.994359096447127,0.9906133470489906,0.967551622418879,0.9278642149929278,0.9968882602545969,0.9472924187725632,0.9423917624064535,0.9479686386315038,0.42314878,656,7048,22,51
dnnpremir,test_known_species_heldout_family,,7447,7447,0,677,6770,0.9594676264981808,0.9856424097100555,0.9836175641197797,0.9586776859504132,0.8567208271787297,0.9963072378138847,0.9048361934477379,0.8975998396190733,0.9223813112283346,0.29515001,580,6745,25,97
dnnpremir,test_heldout_species_known_family,,2277,2277,0,207,2070,0.9821028501464606,0.9931807043338234,0.9890206411945542,0.9595959595959596,0.9178743961352657,0.996135265700483,0.9382716049382717,0.9325267363730428,0.9429280397022332,0.54427713,190,2062,8,17
dnnpremir,test_heldout_species_heldout_family,,759,759,0,69,690,0.9677275766787611,0.9961562696912414,0.9723320158102767,0.98,0.7101449275362319,0.9985507246376811,0.823529411764706,0.8212979510509959,0.9130434782608695,0.17425732,49,689,1,20
mire2e,test_known_species_known_family,,7777,7777,0,707,7070,0.9628058320942989,0.9914588205638103,0.9704256139899704,0.7701019252548131,0.9618104667609618,0.9712871287128713,0.8553459119496856,0.8455328648254558,0.9204545454545454,0.9351618885993958,680,6867,203,27
mire2e,test_known_species_heldout_family,,7447,7447,0,677,6770,0.9498782377749716,0.9846302546860443,0.9689807976366323,0.7686746987951807,0.9423929098966026,0.9716395864106352,0.8467153284671532,0.8349888794821485,0.9101707498144023,0.8714172840118408,638,6578,192,39
mire2e,test_heldout_species_known_family,,2277,2277,0,207,2070,0.9532054721517571,0.9889378982006581,0.966183574879227,0.75,0.9420289855072463,0.9685990338164251,0.835117773019272,0.823136256628091,0.9152542372881356,0.9133815765380859,195,2005,65,12
mire2e,test_heldout_species_heldout_family,,759,759,0,69,690,0.8685388487541539,0.9733459357277883,0.9604743083003953,0.7468354430379747,0.855072463768116,0.9710144927536232,0.7972972972972974,0.7776906072249408,0.8201438848920863,0.7233426570892334,59,670,20,10
mustard,test_known_species_known_family,,7777,7777,0,707,7070,0.9814890377526823,0.9960280004561377,0.9848270541339849,0.8809831824062095,0.9632248939179632,0.986987270155587,0.9202702702702702,0.913013467822409,0.9542203147353362,0.9464192390441895,681,6978,92,26
mustard,test_known_species_heldout_family,,7447,7447,0,677,6770,0.9695983056974247,0.9871423148000672,0.9854975157781657,0.90014064697609,0.9453471196454948,0.9895125553914328,0.9221902017291066,0.9145327365462608,0.9351230425055927,0.8649095296859741,640,6699,71,37
mustard,test_heldout_species_known_family,,2277,2277,0,207,2070,0.9788539433966719,0.9937991551728161,0.9881422924901185,0.9128440366972477,0.961352657004831,0.9908212560386473,0.936470588235294,0.9303153872472788,0.9535452322738386,0.9521817564964294,199,2051,19,8
mustard,test_heldout_species_heldout_family,,759,759,0,69,690,0.9525753204056489,0.9868935097668557,0.9762845849802372,0.8695652173913043,0.8695652173913043,0.9869565217391304,0.8695652173913043,0.8565217391304348,0.9022556390977444,0.7359796762466431,60,681,9,9
