code	scientific_name	train	validation	test_1	test_2	test_3	test_4	total
hsa	Homo sapiens	245	26	48	29	0	0	348
mml	Macaca mulatta	150	22	23	19	0	0	214
pab	Pongo abelii	144	21	27	15	0	0	207
xla	Xenopus laevis	204	39	36	39	0	0	318
eca	Equus caballus	186	26	25	20	0	0	257
bta	Bos taurus	220	30	31	33	0	0	314
mmu	Mus musculus	244	29	22	35	0	0	330
cja	Callithrix jacchus	221	35	40	34	0	0	330
laf	Loxodonta africana	178	28	28	31	0	0	265
mal	Monopterus albus	128	20	16	16	0	0	180
gmo	Gadus morhua	188	32	33	36	0	0	289
cpi	Chrysemys picta bellii	114	14	14	19	0	0	161
lpo	Limulus polyphemus	138	14	23	22	0	0	197
gga	Gallus gallus	0	0	0	0	106	46	152
cmi	Callorhinchus milii	100	13	18	17	0	0	148
loc	Lepisosteus oculatus	108	19	14	20	0	0	161
gja	Gekko japonicus	104	19	11	12	0	0	146
sto	Scyliorhinus torazame	103	19	18	20	0	0	160
pbv	Python bivittatus	96	14	12	19	0	0	141
mun	Microcaecilia unicolor	103	17	20	19	0	0	159
spt	Sphenodon punctatus	95	12	11	19	0	0	137
bla	Branchiostoma lanceolatum	109	8	12	5	0	0	134
cbr	Caenorhabditis briggsae	50	7	7	3	0	0	67
ebu	Eptatretus burgeri	88	7	23	10	0	0	128
obi	Octopus bimaculoides	56	4	6	3	0	0	69
dme	Drosophila melanogaster	0	0	0	0	101	23	124
dan	Drosophila ananassae	43	7	8	3	0	0	61
dya	Drosophila yakuba	53	3	6	4	0	0	66
esc	Euprymna scolopes	62	7	2	5	0	0	76
cel	Caenorhabditis elegans	90	9	12	13	0	0	124
bge	Blattella germanica	57	3	11	8	0	0	79
ava	Adineta vaga	10	3	2	2	0	0	17
pdu	Platynereis dumerilii	70	6	11	12	0	0	99
aga	Anopheles gambiae	36	3	4	5	0	0	48
sme	Schmidtea mediterranea	8	0	1	2	0	0	11
cin	Ciona intestinalis	40	3	4	6	0	0	53
lan	Lingula anatina	50	3	5	5	0	0	63
dlo	Diachasmimorpha longicaudata	26	5	4	5	0	0	40
ofu	Owenia fusiformis	58	5	8	5	0	0	76
pve	Pictodentalium vernedei	49	6	14	6	0	0	75
llo	Lineus longissimus	53	8	7	7	0	0	75
pfl	Ptychodera flava	32	5	7	10	0	0	54
agr	Acanthopleura granulata	49	2	10	6	0	0	67
mom	Mopalia muscosa	39	5	3	5	0	0	52
snu	Sipunculus nudus	49	1	6	5	0	0	61
dgr	Dimorphilus gyrociliatus	19	2	5	6	0	0	32
npo	Nautilus pompilius	31	4	3	2	0	0	40
pca	Priapulus caudatus	28	5	5	3	0	0	41
sko	Saccoglossus kowalevskii	38	7	1	11	0	0	57
pau	Phoronis australis	49	5	5	7	0	0	66
war	Wirenia argentea	28	0	2	1	0	0	31
pcr	Prostheceraeus crozieri	34	6	7	8	0	0	55
eba	Epimenia babai	37	6	3	3	0	0	49
isc	Ixodes scapularis	37	4	6	6	0	0	53
bko	Brachionus koreanus	2	0	0	0	0	0	2
pmi	Patiria miniata	35	5	5	3	0	0	48
spu	Strongylocentrotus purpuratus	27	7	5	4	0	0	43
bpl	Brachionus plicatilis	5	0	0	0	0	0	5
egr	Echinococcus granulosus	21	4	2	3	0	0	30
sma	Schistosoma mansoni	13	0	5	4	0	0	22
gsa	Gyrodactylus salaris	13	2	2	2	0	0	19
sro	Symsagittifera roscoffensis	14	1	1	1	0	0	17
asp	Actinernus sp.	19	2	3	2	0	0	26
nve	Nematostella vectensis	20	4	0	1	0	0	25
gsp	Gordionus sp.	1	0	0	0	0	0	1
hmi	Hofstenia miamia	7	1	1	0	0	0	9
hvu	Hydra vulgaris	17	5	2	0	0	0	24
adi	Acropora digitifera	10	1	1	0	0	0	12
ple	Pomphorhynchus laevis	3	0	0	1	0	0	4
aqu	Amphimedon queenslandica	8	0	0	0	0	0	8
emu	Ephydatia muelleri	3	1	0	0	0	0	4
