code	common_name	scientific_name	taxonomy_group	pre_mirna_count	genome_source	assembly_name	assembly_accession	genome_fasta_url	alias_url	mirgenedb_bed_url	supplement_fasta	supplement_bed	panel_status	notes
hsa	Human	Homo sapiens	Mammal	573	UCSC	hg38	GCA_000001405.15	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.fa.gz	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/database/chromAlias.txt.gz	https://mirgenedb.org/static/data/hsa/hsa-all.bed			strict_exact	mirgenedb_context=hg38; mirgenedb_locus=https://mirgenedb.org/show/hsa/Mir-8-P1a; validation_source=UCSC chromInfo+chromAlias; ucsc_build=hg38; direct_matched=573; alias_matched=0; exact_precursor_sequence_match=pass; reference_records=573; compared_rows=573; exact_matches=573; source_batch=original_71
mml	Rhesus monkey	Macaca mulatta	Mammal	551	NCBI	GCA_003339765.3_Mmul_10_traces	GCA_003339765.3	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_003339765.3/download?include_annotation_type=GENOME_FASTA		https://mirgenedb.org/static/data/mml/mml-all.bed	panels/mirgenedb_71/supplements/mml.supplement.fa	panels/mirgenedb_71/supplements/mml.supplement.bed	supplemented_exact	mirgenedb_context=GCA_003339765.3_Mmul_10_traces; mirgenedb_locus=https://mirgenedb.org/show/mml/Mir-7180; ncbi_assembly_name=Mmul_10; validation_source=NCBI assembly report; assembly_report=https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/339/765/GCA_003339765.3_Mmul_10/GCA_003339765.3_Mmul_10_assembly_report.txt; missing_examples=ref|NC_027910.1|:2204403-2204704:1;ref|NC_027911.1|:49052010-49052273:1;ref|NC_027913.1|:140965443-140965706:1;ref|NC_027913.1|:50017913-50018176:1;ref|NR_032569.2|:1-101:1;ref|NR_128278.1|:1-110:1; exact_precursor_sequence_match=not_full; reference_records=551; compared_rows=545; exact_matches=545; source_batch=original_71; supplemental_contigs_added_from=audits/mirgenedb_full_exact_2026-07-02/supplement_missing_rows_fast_2026-07-03/mml; supplemented_rows=6; exact_after_supplement=551/551
pab	Sumatran orangutan	Pongo abelii	Mammal	526	UCSC	GCA_028885655.2_NHGRI_mPonAbe1-v2.0_traces	GCA_028885655.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/028/885/655/GCA_028885655.2/GCA_028885655.2.fa.gz	https://hgdownload.soe.ucsc.edu/hubs/GCA/028/885/655/GCA_028885655.2/GCA_028885655.2.chromAlias.txt	https://mirgenedb.org/static/data/pab/pab-all.bed	panels/mirgenedb_71/supplements/pab.supplement.fa	panels/mirgenedb_71/supplements/pab.supplement.bed	supplemented_exact	mirgenedb_context=GCA_028885655.2_NHGRI_mPonAbe1-v2.0_traces; mirgenedb_locus=https://mirgenedb.org/show/pab/Mir-7180; validation_source=UCSC GenArk chrom.sizes+chromAlias; ucsc_genark_base=https://hgdownload.soe.ucsc.edu/hubs/GCA/028/885/655/GCA_028885655.2/; direct_matched=522; alias_matched=0; missing_examples=ref|NC_036905.1|:74764293-74764556:1;ref|NC_036926.1|:142254888-142255151:1;ref|NC_036926.1|:142255775-142256038:1;ref|NC_036926.1|:142259298-142259561:1; exact_precursor_sequence_match=not_full; reference_records=526; compared_rows=522; exact_matches=522; source_batch=original_71; supplemental_contigs_added_from=audits/mirgenedb_full_exact_2026-07-02/supplement_missing_rows_fast_2026-07-03/pab; supplemented_rows=4; exact_after_supplement=526/526
xla	African clawed frog	Xenopus laevis	Amphibian	504	UCSC	GCF_001663975.1_XLA_v2	GCF_001663975.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/663/975/GCF_001663975.1/GCF_001663975.1.fa.gz	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/663/975/GCF_001663975.1/GCF_001663975.1.chromAlias.txt	https://mirgenedb.org/static/data/xla/xla-all.bed			strict_exact	mirgenedb_context=GCF_001663975.1_XLA_v2; mirgenedb_locus=https://mirgenedb.org/show/xla/Mir-103-P2c; validation_source=UCSC GenArk chrom.sizes+chromAlias; ucsc_genark_base=https://hgdownload.soe.ucsc.edu/hubs/GCF/001/663/975/GCF_001663975.1/; direct_matched=504; alias_matched=0; exact_precursor_sequence_match=pass; reference_records=505; compared_rows=504; exact_matches=504; source_batch=original_71
eca	Horse	Equus caballus	Mammal	482	NCBI	GCA_002863925.1_EquCab3.0	GCA_002863925.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_002863925.1/download?include_annotation_type=GENOME_FASTA		https://mirgenedb.org/static/data/eca/eca-all.bed			strict_exact	mirgenedb_context=GCA_002863925.1_EquCab3.0; mirgenedb_locus=https://mirgenedb.org/show/eca/Mir-202; ncbi_assembly_name=EquCab3.0; validation_source=NCBI assembly report; assembly_report=https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/863/925/GCA_002863925.1_EquCab3.0/GCA_002863925.1_EquCab3.0_assembly_report.txt; exact_precursor_sequence_match=pass; reference_records=482; compared_rows=482; exact_matches=482; source_batch=original_71
bta	Cow	Bos taurus	Mammal	466	UCSC	GCF_002263795.1_ARS-UCD1.2_BTA	GCF_002263795.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/002/263/795/GCF_002263795.1/GCF_002263795.1.fa.gz	https://hgdownload.soe.ucsc.edu/hubs/GCF/002/263/795/GCF_002263795.1/GCF_002263795.1.chromAlias.txt	https://mirgenedb.org/static/data/bta/bta-all.bed			strict_exact	mirgenedb_context=GCF_002263795.1_ARS-UCD1.2_BTA; mirgenedb_locus=https://mirgenedb.org/show/bta/Mir-155; validation_source=UCSC GenArk chrom.sizes+chromAlias; ucsc_genark_base=https://hgdownload.soe.ucsc.edu/hubs/GCF/002/263/795/GCF_002263795.1/; direct_matched=466; alias_matched=0; exact_precursor_sequence_match=pass; reference_records=466; compared_rows=466; exact_matches=466; source_batch=original_71
mmu	House mouse	Mus musculus	Mammal	457	UCSC	mm10	GCA_000001635.2	https://hgdownload.soe.ucsc.edu/goldenPath/mm10/bigZips/mm10.fa.gz	https://hgdownload.soe.ucsc.edu/goldenPath/mm10/database/chromAlias.txt.gz	https://mirgenedb.org/static/data/mmu/mmu-all.bed			strict_exact	mirgenedb_context=mm10; mirgenedb_locus=https://mirgenedb.org/show/mmu/Mir-1-P2; validation_source=UCSC chromInfo+chromAlias; ucsc_build=mm10; direct_matched=457; alias_matched=0; exact_precursor_sequence_match=pass; reference_records=457; compared_rows=457; exact_matches=457; source_batch=original_71
cja	White-tufted-ear marmoset	Callithrix jacchus	Mammal	444	UCSC	GCA_011100555.2_mCalJa1.2.pat.X_genomic	GCA_011100555.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/011/100/555/GCA_011100555.2/GCA_011100555.2.fa.gz	https://hgdownload.soe.ucsc.edu/hubs/GCA/011/100/555/GCA_011100555.2/GCA_011100555.2.chromAlias.txt	https://mirgenedb.org/static/data/cja/cja-all.bed			strict_exact	mirgenedb_context=GCA_011100555.2_mCalJa1.2.pat.X_genomic; mirgenedb_locus=https://mirgenedb.org/show/cja/Mir-17-P1a; validation_source=UCSC GenArk chrom.sizes+chromAlias; ucsc_genark_base=https://hgdownload.soe.ucsc.edu/hubs/GCA/011/100/555/GCA_011100555.2/; direct_matched=444; alias_matched=0; exact_precursor_sequence_match=pass; reference_records=444; compared_rows=444; exact_matches=444; source_batch=original_71
laf	African bush elephant	Loxodonta africana	Mammal	376	UCSC	GCA_000001905.1_Loxafr3.0	GCA_000001905.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/001/905/GCA_000001905.1/GCA_000001905.1.fa.gz	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/001/905/GCA_000001905.1/GCA_000001905.1.chromAlias.txt	https://mirgenedb.org/static/data/laf/laf-all.bed			strict_exact	mirgenedb_context=GCA_000001905.1_Loxafr3.0; mirgenedb_locus=https://mirgenedb.org/show/laf/Mir-147-P4; validation_source=UCSC GenArk chrom.sizes+chromAlias; ucsc_genark_base=https://hgdownload.soe.ucsc.edu/hubs/GCA/000/001/905/GCA_000001905.1/; direct_matched=376; alias_matched=0; exact_precursor_sequence_match=pass; reference_records=376; compared_rows=376; exact_matches=376; source_batch=original_71
mal	Asian swamp eel	Monopterus albus	Fish	347	NCBI	GCA_001952655.1_M_albus_1.0_genomic	GCA_001952655.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_001952655.1/download?include_annotation_type=GENOME_FASTA		https://mirgenedb.org/static/data/mal/mal-all.bed			strict_exact	mirgenedb_context=GCA_001952655.1_M_albus_1.0_genomic; mirgenedb_locus=https://mirgenedb.org/show/mal/Novel-2; ncbi_assembly_name=M_albus_1.0; validation_source=NCBI assembly report; assembly_report=https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/952/655/GCA_001952655.1_M_albus_1.0/GCA_001952655.1_M_albus_1.0_assembly_report.txt; exact_precursor_sequence_match=pass; reference_records=347; compared_rows=347; exact_matches=347; source_batch=original_71
