test,split,method,positives,negatives,AP,CI_2.5%,CI_97.5%,resamples,seed
Test 1,test_known_species_known_family,DeepMir,707,7070,0.8648420792,0.8435216902,0.8858340461,10000,42
Test 1,test_known_species_known_family,deepMiRGene,707,7070,0.9647686121,0.9523941279,0.9759945343,10000,42
Test 1,test_known_species_known_family,dnnPreMiR,707,7070,0.9782464939,0.9699237055,0.9857856320,10000,42
Test 1,test_known_species_known_family,mirDNN,707,7070,0.9844732371,0.9771745246,0.9908093460,10000,42
Test 1,test_known_species_known_family,miRe2e,707,7070,0.9628063379,0.9511182827,0.9735058409,10000,42
Test 1,test_known_species_known_family,MuStARD,707,7070,0.9814890740,0.9745158084,0.9877832252,10000,42
Test 1,test_known_species_known_family,pre-miRBench,707,7070,0.9869430078,0.9806681715,0.9924964260,10000,42
Test 2,test_known_species_heldout_family,DeepMir,677,6770,0.8513225760,0.8295581553,0.8722010735,10000,42
Test 2,test_known_species_heldout_family,deepMiRGene,677,6770,0.9702637064,0.9599163499,0.9799840534,10000,42
Test 2,test_known_species_heldout_family,dnnPreMiR,677,6770,0.9594676265,0.9478460883,0.9701910274,10000,42
Test 2,test_known_species_heldout_family,mirDNN,677,6770,0.9561043402,0.9439220446,0.9675550342,10000,42
Test 2,test_known_species_heldout_family,miRe2e,677,6770,0.9498783259,0.9365002538,0.9626747475,10000,42
Test 2,test_known_species_heldout_family,MuStARD,677,6770,0.9695944744,0.9594593278,0.9790885417,10000,42
Test 2,test_known_species_heldout_family,pre-miRBench,677,6770,0.9813342262,0.9738728084,0.9879857528,10000,42
Test 3,test_heldout_species_known_family,DeepMir,207,2070,0.8684738476,0.8322067613,0.9030605696,10000,42
Test 3,test_heldout_species_known_family,deepMiRGene,207,2070,0.9728583498,0.9545064050,0.9881423841,10000,42
Test 3,test_heldout_species_known_family,dnnPreMiR,207,2070,0.9821028501,0.9677754427,0.9934748970,10000,42
Test 3,test_heldout_species_known_family,mirDNN,207,2070,0.9852563042,0.9738375843,0.9946357709,10000,42
Test 3,test_heldout_species_known_family,miRe2e,207,2070,0.9532064288,0.9302701711,0.9729529866,10000,42
Test 3,test_heldout_species_known_family,MuStARD,207,2070,0.9788539434,0.9632440317,0.9916118398,10000,42
Test 3,test_heldout_species_known_family,pre-miRBench,207,2070,0.9895233500,0.9801372639,0.9965964581,10000,42
Test 4,test_heldout_species_heldout_family,DeepMir,69,690,0.8019805793,0.7157708946,0.8832845338,10000,42
Test 4,test_heldout_species_heldout_family,deepMiRGene,69,690,0.9421639371,0.8932256921,0.9820000638,10000,42
Test 4,test_heldout_species_heldout_family,dnnPreMiR,69,690,0.9677275767,0.9414512925,0.9890139070,10000,42
Test 4,test_heldout_species_heldout_family,mirDNN,69,690,0.9112740601,0.8547581228,0.9602415896,10000,42
Test 4,test_heldout_species_heldout_family,miRe2e,69,690,0.8685388488,0.8027338709,0.9270109417,10000,42
Test 4,test_heldout_species_heldout_family,MuStARD,69,690,0.9525753204,0.9137445971,0.9833264651,10000,42
Test 4,test_heldout_species_heldout_family,pre-miRBench,69,690,0.9659273174,0.9264060133,0.9955452499,10000,42
