test,split,comparison,AP_difference,CI_2.5%,CI_97.5%,resamples,seed
Test 1,test_known_species_known_family,pre-miRBench minus DeepMir,0.1221009286,0.1024756956,0.1420456160,10000,42
Test 1,test_known_species_known_family,pre-miRBench minus deepMiRGene,0.0221743957,0.0143676068,0.0309352771,10000,42
Test 1,test_known_species_known_family,pre-miRBench minus dnnPreMiR,0.0086965139,0.0014995527,0.0159617858,10000,42
Test 1,test_known_species_known_family,pre-miRBench minus mirDNN,0.0024697706,-0.0039671293,0.0092200481,10000,42
Test 1,test_known_species_known_family,pre-miRBench minus miRe2e,0.0241366699,0.0129586898,0.0360918834,10000,42
Test 1,test_known_species_known_family,pre-miRBench minus MuStARD,0.0054539338,0.0019025052,0.0092000413,10000,42
Test 2,test_known_species_heldout_family,pre-miRBench minus DeepMir,0.1300116502,0.1109746154,0.1496806420,10000,42
Test 2,test_known_species_heldout_family,pre-miRBench minus deepMiRGene,0.0110705198,0.0055805390,0.0171113905,10000,42
Test 2,test_known_species_heldout_family,pre-miRBench minus dnnPreMiR,0.0218665997,0.0154364656,0.0290351958,10000,42
Test 2,test_known_species_heldout_family,pre-miRBench minus mirDNN,0.0252298860,0.0168460162,0.0342310634,10000,42
Test 2,test_known_species_heldout_family,pre-miRBench minus miRe2e,0.0314559003,0.0204086668,0.0430651613,10000,42
Test 2,test_known_species_heldout_family,pre-miRBench minus MuStARD,0.0117397518,0.0069290545,0.0170509672,10000,42
Test 3,test_heldout_species_known_family,pre-miRBench minus DeepMir,0.1210495024,0.0875493104,0.1566903203,10000,42
Test 3,test_heldout_species_known_family,pre-miRBench minus deepMiRGene,0.0166650002,0.0067918409,0.0287028365,10000,42
Test 3,test_heldout_species_known_family,pre-miRBench minus dnnPreMiR,0.0074204999,-0.0031588513,0.0185899767,10000,42
Test 3,test_heldout_species_known_family,pre-miRBench minus mirDNN,0.0042670458,-0.0049150010,0.0135133720,10000,42
Test 3,test_heldout_species_known_family,pre-miRBench minus miRe2e,0.0363169212,0.0170075866,0.0583855910,10000,42
Test 3,test_heldout_species_known_family,pre-miRBench minus MuStARD,0.0106694066,0.0030851620,0.0197828545,10000,42
Test 4,test_heldout_species_heldout_family,pre-miRBench minus DeepMir,0.1639467381,0.0895882528,0.2451770369,10000,42
Test 4,test_heldout_species_heldout_family,pre-miRBench minus deepMiRGene,0.0237633803,0.0005127725,0.0546220455,10000,42
Test 4,test_heldout_species_heldout_family,pre-miRBench minus dnnPreMiR,-0.0018002592,-0.0445085822,0.0341162899,10000,42
Test 4,test_heldout_species_heldout_family,pre-miRBench minus mirDNN,0.0546532573,-0.0039572980,0.1152765755,10000,42
Test 4,test_heldout_species_heldout_family,pre-miRBench minus miRe2e,0.0973884687,0.0313503559,0.1659428602,10000,42
Test 4,test_heldout_species_heldout_family,pre-miRBench minus MuStARD,0.0133519970,-0.0110182822,0.0380722155,10000,42
