code	scientific_name	genome_source	reference_identifier	assembly_name	assembly_accession	genome_fasta_url	genome_fasta_records	genome_sequence_bases	genome_sequence_sha256	mirgenedb_bed_url	source_bed_rows	source_bed_bytes	source_bed_sha256	precursor_bed_rows	precursor_bed_sha256	panel_status
hsa	Homo sapiens	UCSC	GCA_000001405.15	hg38	GCA_000001405.15	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.fa.gz	455	3209286105	5a142066a34d86b05fc3d40d7260f05b677e47ecc2cb8ada5eb44ef4eecc3c23	https://mirgenedb.org/static/data/hsa/hsa-all.bed	5728	280693	6c355351ef55d2fb7c55fa5b3518f32e4432940691d3c9ba1b31891aad73cedd	573	76dbb4827c97161e5a675e4fc94396e8d90ff845ca5af8837705235ea59e6242	strict_exact
mml	Macaca mulatta	NCBI	GCA_003339765.3	GCA_003339765.3_Mmul_10_traces	GCA_003339765.3	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_003339765.3/download?include_annotation_type=GENOME_FASTA	2944	2971316271	9aa5a92b2d8b06d6c52091c4469f78099c5e925213a06aabdbe5ea7f6eabdcf0	https://mirgenedb.org/static/data/mml/mml-all.bed	5525	301229	eed1299c3f9050c52b4729755f098b3aa52c5c8c4a27965750154eb490096b0f	551	ab95fe4b7487469625e41e460ddecb725f28ced7ad4c8927fcd2e8b38641a29b	supplemented_exact
pab	Pongo abelii	UCSC	GCA_028885655.2	GCA_028885655.2_NHGRI_mPonAbe1-v2.0_traces	GCA_028885655.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/028/885/655/GCA_028885655.2/GCA_028885655.2.fa.gz	33	3259854586	f8f95b99dfe8d1eb92f36ffd6fbfe329dca8c2a93c868b7931fa390abc5951e1	https://mirgenedb.org/static/data/pab/pab-all.bed	5277	287780	6a180b9afb8f77d1cae3b15dad63e05bba18f1bb973d7167f7b69e4975027e76	526	ca6ea451121ce16c237a9f363de4f6aa84c260e2ca93f5dfd89c792498caf4d2	supplemented_exact
xla	Xenopus laevis	UCSC	GCF_001663975.1	GCF_001663975.1_XLA_v2	GCF_001663975.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/001/663/975/GCF_001663975.1/GCF_001663975.1.fa.gz	108033	2718433805	590d50af84a73a68c65e5d128c5c3306e93f1cb2e2ca1d9aa3d35d593719d6a1	https://mirgenedb.org/static/data/xla/xla-all.bed	5052	286777	2219e24bf023292f60d326f4179eb4d3bcab1da56ce036d4f35af3104797a8c6	504	2e6436feeeb4c75d21cae53b77a6e1c5ea990487f4df15daaa4c90633ffe5179	strict_exact
eca	Equus caballus	NCBI	GCA_002863925.1	GCA_002863925.1_EquCab3.0	GCA_002863925.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_002863925.1/download?include_annotation_type=GENOME_FASTA	4700	2506949475	ebc0e65bb9f7e0b8c0dce72411c421c259bedf9639d1b001d62b23ec0e5bd4d9	https://mirgenedb.org/static/data/eca/eca-all.bed	4883	265853	01f52c78b2bbf9fbf7de9bed53245a9b4abab33fca0cc73569fc2826a6cb7bfa	482	c2fd04050ace745a180fc405314b49cc63b9e1dcbfe479caadbd28e3241c32e8	strict_exact
bta	Bos taurus	UCSC	GCF_002263795.1	GCF_002263795.1_ARS-UCD1.2_BTA	GCF_002263795.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/002/263/795/GCF_002263795.1/GCF_002263795.1.fa.gz	2211	2715853792	e3914af4fb55ee2927374b870aa61f692c10be80ff0fef1e62f9d6ef471a58fd	https://mirgenedb.org/static/data/bta/bta-all.bed	4675	256506	84119fd8f93ea36f5024ffd7b93921a51328369166c5b1b057288eb1d7756a1b	466	afaf65d19f9f92a0edfa702c8ec0b2c6382bae57adda25ad9f46fd34dca196f9	strict_exact
mmu	Mus musculus	UCSC	GCA_000001635.2	mm10	GCA_000001635.2	https://hgdownload.soe.ucsc.edu/goldenPath/mm10/bigZips/mm10.fa.gz	66	2730871774	3adb3d9ee04d66916e72030e05b16de06a81268770ca672f3b9b0dedca596192	https://mirgenedb.org/static/data/mmu/mmu-all.bed	4602	224811	36e7cde4a51a2d1e4d7a07eec29db2a8223adbf13316055a73a9de7bcb20ad76	457	25c3eeb85a37cb5065bc417307b90362d37fe18db3778a78efb3d270be30a835	strict_exact
cja	Callithrix jacchus	UCSC	GCA_011100555.2	GCA_011100555.2_mCalJa1.2.pat.X_genomic	GCA_011100555.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/011/100/555/GCA_011100555.2/GCA_011100555.2.fa.gz	1234	2874881015	9baeba86649001b085066034cbe8f37f842a1dbd69688a8660d3a32e91336aff	https://mirgenedb.org/static/data/cja/cja-all.bed	4448	241429	13caed0bbbf685082d8ce8e9efc856207798208ac7c6febe47da0f018bd05578	444	50efd7c8beaadbb2aac3f794c253182e572075fd0c74cab7a650741b6df8153d	strict_exact
laf	Loxodonta africana	UCSC	GCA_000001905.1	GCA_000001905.1_Loxafr3.0	GCA_000001905.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/001/905/GCA_000001905.1/GCA_000001905.1.fa.gz	2352	3196738035	ae8bee567233cec115a84e6b34a5691b70bc53bc06e1a1d5031e4676dbb9c3b5	https://mirgenedb.org/static/data/laf/laf-all.bed	3777	198876	9a405d94a8c10444f1b9641a20a1ebbc5eaff3d276e6982e5903fc461d3cedcb	376	6d408ae9acc9a5dadb794f79a2bd7d06c9fb703fb108b1417d95cd26836ece15	strict_exact
mal	Monopterus albus	NCBI	GCA_001952655.1	GCA_001952655.1_M_albus_1.0_genomic	GCA_001952655.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_001952655.1/download?include_annotation_type=GENOME_FASTA	20621	684127526	7da43c48b31f9686e4aab3385210ebffe5c78c00b493df094a390686853ecb98	https://mirgenedb.org/static/data/mal/mal-all.bed	3468	179828	6bab2d3d9a32aeb04ad1f40794d16e2833906f59bfaffb9c1ec92fa9b9431247	347	577b97c6e6f3c3ad8e030670bfabf0af0c5835e8c9171498c2af50df5bf8b714	strict_exact
